0;81;66;66;-0.018799;-0.499023;-1.224858;
10;64;583;605;0.105225;-0.498779;-1.240117;
20;68;578;581;-0.024170;-0.445801;-1.217090;
30;81;545;569;-0.025879;-0.538818;-1.221806;
40;558;530;623;-0.017578;-0.507568;-1.175198;
50;517;528;576;0.031738;-0.467529;-1.282563;
60;499;540;574;-0.023682;-0.565918;-1.252046;
70;526;521;567;-0.147705;-0.551025;-1.155223;
80;481;517;578;0.072754;-0.449951;-1.261479;
90;506;483;586;-0.019043;-0.487305;-1.176307;
100;484;503;492;-0.066162;-0.546387;-1.234290;
110;452;480;569;0.099365;-0.452637;-1.264808;
120;480;451;474;-0.089111;-0.542969;-1.224303;
130;442;453;462;-0.031494;-0.587402;-1.221251;
140;464;467;440;0.092041;-0.405029;-1.204328;
150;454;434;489;-0.115479;-0.471191;-1.280067;
160;423;423;435;-0.033936;-0.569092;-1.192953;
170;418;606;599;0.110596;-0.442871;-1.239839;
180;421;602;613;0.016602;-0.430664;-1.326952;
190;551;600;599;0.009277;-0.576172;-1.162713;
200;549;568;600;-0.009521;-0.503662;-1.248439;
210;531;559;588;-0.107666;-0.409668;-1.244833;
220;541;541;542;-0.233887;-0.534180;-1.192121;
230;542;565;615;-0.054443;-0.614746;-1.245665;
240;504;531;538;-0.243652;-0.437744;-1.232071;
250;525;692;708;-0.457275;-0.479980;-1.285060;
260;478;675;676;-0.063965;-0.587646;-1.204328;
270;502;663;588;-0.136963;-0.415771;-1.270356;
280;567;697;656;-0.008545;-0.547119;-1.249272;
290;534;749;726;0.197266;-0.467041;-1.068942;
300;579;722;754;-0.077148;-0.447510;-1.298100;
310;638;790;736;0.097412;-0.508057;-1.146622;
320;636;825;783;0.055908;-0.429199;-1.239562;
330;688;818;797;0.036621;-0.673340;-1.295048;
340;676;844;795;0.336914;-0.459961;-1.464281;
350;697;880;843;0.376221;-0.491943;-1.342766;
360;763;913;838;-0.521973;-0.335449;-0.827022;
370;747;941;888;-0.437256;-0.304443;-1.129144;
380;787;994;961;0.843262;-0.932617;-1.555556;
390;779;1015;959;0.334229;-0.582031;-1.146900;
400;830;1043;982;-1.483154;-0.483887;-1.078374;
410;854;1036;1015;-0.910645;-0.944824;-1.118324;
420;862;1083;1048;1.999939;-1.256836;-1.270634;
430;858;1089;1054;-0.096191;0.102783;-1.540574;
440;916;1127;1042;-2.000000;-2.000000;-1.335830;
450;931;1164;1140;1.999939;1.111084;-0.406714;
460;922;1164;1115;-2.000000;-1.853271;-1.846026;
470;961;1182;1160;1.999939;-0.491699;-2.272715;
480;953;1229;1152;-1.881592;-0.355713;-0.965460;
490;1005;1264;1264;-0.732910;-0.434570;-2.272715;
500;996;1260;1222;-0.482910;1.755127;0.418089;
510;1031;1307;1254;1.385498;-1.374023;-1.852962;
520;1057;1296;1271;-2.000000;0.853760;-0.831183;
530;1052;1345;1326;1.999939;-2.000000;-2.272715;
540;1108;1383;1323;-2.000000;-2.000000;-2.272715;
550;1092;1431;1337;1.999939;1.999939;1.506173;
560;1121;1440;1364;-2.000000;-2.000000;-2.272715;
570;1164;1462;1384;-2.000000;-2.000000;-1.687613;
580;1193;1473;1404;1.999939;1.999939;-2.272715;
590;1160;1485;1468;-2.000000;-2.000000;-1.988903;
600;1200;1514;1452;1.999939;-2.000000;-2.272715;
610;1227;1571;1533;1.999939;1.999939;-2.272715;
620;1255;1563;1508;-2.000000;-2.000000;-0.658066;
630;1263;1571;1506;1.999939;-2.000000;-2.272715;
640;1252;1609;1540;1.999939;1.999939;-0.641698;
650;1238;1598;1531;-2.000000;1.999939;1.739492;
660;1301;1642;1548;-2.000000;-2.000000;-2.272715;
670;1293;1637;1582;1.999939;-2.000000;-2.272715;
680;1281;1610;1523;1.999939;1.999939;2.272645;
690;1295;1646;1568;-2.000000;1.999939;2.272645;
700;1289;1643;1556;-2.000000;0.029053;-0.906090;
710;1265;1620;1641;-2.000000;-2.000000;-2.272715;
720;1320;1645;1566;-2.000000;-2.000000;-2.272715;
730;1298;1616;1524;1.999939;-2.000000;-2.272715;
740;1325;1616;1583;1.999939;-2.000000;-2.272715;
750;1277;1601;1546;1.999939;1.054932;-1.435705;
760;1283;1593;1544;1.999939;1.999939;0.718824;
770;1292;1591;1496;1.999939;1.999939;2.272645;
780;1274;1579;1516;1.999939;1.999939;2.272645;
790;1272;1591;1504;1.999939;1.999939;2.272645;
800;1276;1427;1505;1.999939;1.999939;2.272645;
810;1243;1550;1500;1.999939;1.999939;2.272645;
820;1253;1548;1463;1.999939;1.999939;2.272645;
830;1242;1579;1569;1.999939;1.999939;2.272645;
840;1240;1545;1529;1.999939;1.999939;2.272645;
850;1238;1550;1485;1.999939;1.999939;0.725759;
860;1301;1557;1509;1.999939;1.806396;-1.878763;
870;1290;1583;1546;1.999939;-2.000000;-2.272715;
880;1257;1566;1462;1.999939;-2.000000;-2.272715;
890;1263;1548;1507;1.999939;-2.000000;-2.272715;
900;1253;1545;1443;-2.000000;-2.000000;-2.272715;
910;1281;1550;1529;-2.000000;-2.000000;-2.272715;
920;1299;1532;1460;-2.000000;-0.002197;-2.066029;
